Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Manipulation: 
131,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 23,77ls7d,28,How confident are you in your prediction (1-5),response,value,4,,,Rating Scale,4,object-339,
132,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 23,77ls7d,28,How confident are you in your prediction (1-5),response,quantised,4,,,Rating Scale,4,object-339,
133,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 44,zhavks,29,Predict the midpoint of the next candlestick,response,value,103,,,Prediction,3,object-27273,
134,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 44,zhavks,29,How confident are you in your prediction (1-5),response,value,3,,,Rating Scale,4,object-27274,
135,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 44,zhavks,29,How confident are you in your prediction (1-5),response,quantised,3,,,Rating Scale,4,object-27274,
136,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 18,gebzxs,30,Predict the midpoint of the next candlestick,response,value,106,,,Prediction,3,object-398,
137,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 18,gebzxs,30,How confident are you in your prediction (1-5),response,value,3,,,Rating Scale,4,object-399,
138,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 18,gebzxs,30,How confident are you in your prediction (1-5),response,quantised,3,,,Rating Scale,4,object-399,
139,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 45,bhwts9,31,Predict the midpoint of the next candlestick,response,value,101,,,Prediction,3,object-26768,
140,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 45,bhwts9,31,How confident are you in your prediction (1-5),response,value,4,,,Rating Scale,4,object-26769,
